,einwohner,bevoelkerungsdichte,auslaenderanteil,anteil_0_19_jahre,anteil_20_64_jahre,anteil_65_plus_jahre,haushaltsgroesse,geburtenziffer,sterbeziffer,steuerbares_einkommen_pro_kopf,pct_einkommen_ueber_100k,pct_einkommen_unter_40k,sozialhilfequote,siedlungsflaeche_pct,landwirtschaftsflaeche_pct,wald_pct,unproduktive_flaeche_pct,waehleranteil_svp,waehleranteil_sp,waehleranteil_fdp,waehleranteil_cvp,waehleranteil_gps,waehleranteil_glp
einwohner,1.0,0.44095858567208374,0.23600116343713837,-0.08983100291829249,0.2001314220050248,-0.07009140086950565,-0.1487568835925012,0.09123369266256254,0.012807218642771529,0.002002813395113524,-0.019989009293188597,0.040694027114857846,0.22085675434660854,0.2842520522241626,-0.19064346217911335,-0.0581560432722142,-0.03614756744059272,-0.14162569340899647,0.21660997248099412,-0.024044125961796253,0.004370904190024907,0.09608998917164878,0.11176584666162456
bevoelkerungsdichte,0.44095858567208374,1.0,0.5307913377666994,-0.07549858605614121,0.1708677018049535,-0.060701916911659416,-0.13127892015822346,0.09844040175876076,-0.030490171298225326,0.10091307523852261,0.055727721795878274,0.026784619289893175,0.3112113541805275,0.844092556575136,-0.4116871048809326,-0.3383070088188323,-0.12505390274601344,-0.305796974919171,0.2504655834464244,0.09776494301265419,0.13815608860098963,0.19147453296114994,0.08642732593026388
auslaenderanteil,0.23600116343713837,0.5307913377666994,1.0,0.10212963046460752,0.2682463182601772,-0.25371548831264895,0.02079377130209337,0.1065812720129971,-0.17352923258668726,0.20509284163726715,0.1614080729601852,0.06517111437913031,0.33301605275753493,0.6190295760240654,-0.40624254199129073,-0.15377316196619595,-0.04045346180949334,-0.5445315067047002,0.3801341410072008,0.4886171829609124,0.27988496886558273,0.24525847052145527,0.045591094597912656
anteil_0_19_jahre,-0.08983100291829249,-0.07549858605614121,0.10212963046460752,1.0,0.033464267178965786,-0.7404526076637489,0.79514082712837,0.27706858237719423,-0.40103276965541196,0.29868147663863315,0.4441911391765797,-0.3385673827000384,-0.014480615858282173,-0.058448467739293276,0.44610363082171206,-0.30591279258621634,-0.3045605386598737,-0.08176261730316654,0.07870875673275991,0.28802031442243503,-0.24404618504737563,0.24366946529553374,0.24149425742654337
anteil_20_64_jahre,0.2001314220050248,0.1708677018049535,0.2682463182601772,0.033464267178965786,1.0,-0.6965108400881017,0.07855039858093255,0.28720355820861565,-0.3946099444388859,0.020533707212083124,0.0716705598816776,-0.24159236504672446,0.11071843112993353,0.10370490754549266,0.05565896841573166,-0.11553050263048117,-0.11703657218265148,0.023340131456736142,0.15393948366463572,-0.014605882453187597,-0.0912141151674488,0.013948867297099082,0.1227142405165083
anteil_65_plus_jahre,-0.07009140086950565,-0.060701916911659416,-0.25371548831264895,-0.7404526076637489,-0.6965108400881017,1.0,-0.6236940530498225,-0.3920610896289223,0.553290185034012,-0.22824649780686457,-0.3671037024347491,0.4055412004898476,-0.06406017413278457,-0.027777035070278278,-0.35770921396983457,0.2973221505164612,0.29736411146299724,0.043005445293347114,-0.1600308526529077,-0.19696147876771958,0.23655270845901571,-0.18432250555484686,-0.25590392502796017
haushaltsgroesse,-0.1487568835925012,-0.13127892015822346,0.02079377130209337,0.79514082712837,0.07855039858093255,-0.6236940530498225,1.0,0.13876545163612702,-0.4042152301694242,0.42698394051747346,0.5494815627968358,-0.39076694119628425,-0.24130935101189246,-0.04663905114181324,0.4412000102033966,-0.32401494323528385,-0.27852736404550604,-0.08402222685397047,-0.13763070260665639,0.2695627355442779,-0.09784576719173387,0.14879003947707659,0.17084278043993195
geburtenziffer,0.09123369266256254,0.09844040175876076,0.1065812720129971,0.27706858237719423,0.28720355820861565,-0.3920610896289223,0.13876545163612702,1.0,-0.21564161949556251,-0.0008043980599171615,0.03859572138894218,-0.13952358911294985,0.13739477851861065,0.038517966635405125,0.14992195608925776,-0.16534466689234623,-0.09450414266393256,0.08227250204008427,0.12085777354403018,0.0186875844399076,-0.19557065430591275,0.02345034892115671,0.14924398999364238
sterbeziffer,0.012807218642771529,-0.030490171298225326,-0.17352923258668726,-0.40103276965541196,-0.3946099444388859,0.553290185034012,-0.4042152301694242,-0.21564161949556251,1.0,-0.2894440887524196,-0.3714703113116545,0.38182310758402216,0.07416763663102885,-0.0689429782714205,-0.19100346596248222,0.19355705110217275,0.20384225442007076,0.13689145529115235,-0.08455901275942042,-0.20305694553856884,0.03294500021141864,-0.03648379992268327,-0.19878782509480708
steuerbares_einkommen_pro_kopf,0.002002813395113524,0.10091307523852261,0.20509284163726715,0.29868147663863315,0.020533707212083124,-0.22824649780686457,0.42698394051747346,-0.0008043980599171615,-0.2894440887524196,1.0,0.9252680847622283,-0.6465744196471312,-0.35525367994464796,0.2780370249137382,0.12309353384800721,-0.30384988786949507,-0.2612279072888138,-0.21237369127854838,-0.06113958401593894,0.45210167368226384,-0.06825008159409954,-0.07413247541638188,0.5755290746629385
pct_einkommen_ueber_100k,-0.019989009293188597,0.055727721795878274,0.1614080729601852,0.4441911391765797,0.0716705598816776,-0.3671037024347491,0.5494815627968358,0.03859572138894218,-0.3714703113116545,0.9252680847622283,1.0,-0.7326172439881459,-0.378225669187138,0.1990760159053411,0.24210467947767947,-0.33290330864055184,-0.31614684193261056,-0.25029110439829666,0.024336737268006708,0.4550882152831009,-0.1179549341588202,-0.023268696392440332,0.6174894279085189
pct_einkommen_unter_40k,0.040694027114857846,0.026784619289893175,0.06517111437913031,-0.3385673827000384,-0.24159236504672446,0.4055412004898476,-0.39076694119628425,-0.13952358911294985,0.38182310758402216,-0.6465744196471312,-0.7326172439881459,1.0,0.32406099391501886,-0.07142267721180283,-0.3325187270148438,0.29347918891767216,0.3417862049075848,0.02183748490004614,-0.02962347044298235,-0.15085507078332058,0.1864231887390985,0.09036626697842788,-0.5701684681079106
sozialhilfequote,0.22085675434660854,0.3112113541805275,0.33301605275753493,-0.014480615858282173,0.11071843112993353,-0.06406017413278457,-0.24130935101189246,0.13739477851861065,0.07416763663102885,-0.35525367994464796,-0.378225669187138,0.32406099391501886,1.0,0.22267703688986712,-0.17065122448632056,0.00398201579420308,-0.08564631654036256,-0.1632440535419597,0.3836490512163997,-0.010325012778378825,-0.04954656477499712,0.3629892360455118,-0.13190443256293674
siedlungsflaeche_pct,0.2842520522241626,0.844092556575136,0.6190295760240654,-0.058448467739293276,0.10370490754549266,-0.027777035070278278,-0.04663905114181324,0.038517966635405125,-0.0689429782714205,0.2780370249137382,0.1990760159053411,-0.07142267721180283,0.22267703688986712,1.0,-0.4366846512747946,-0.4303917050783102,-0.21030075775317972,-0.41699738597532254,0.23456459063899135,0.2509469609785983,0.2184592543396237,0.11743957120858287,0.12521834881175017
landwirtschaftsflaeche_pct,-0.19064346217911335,-0.4116871048809326,-0.40624254199129073,0.44610363082171206,0.05565896841573166,-0.35770921396983457,0.4412000102033966,0.14992195608925776,-0.19100346596248222,0.12309353384800721,0.24210467947767947,-0.3325187270148438,-0.17065122448632056,-0.4366846512747946,1.0,-0.5444719666576564,-0.3043465529624113,0.3564799532973884,-0.15103116130421465,-0.06897228985722084,-0.5278718278493112,0.018523822566748106,0.25344064614893086
wald_pct,-0.0581560432722142,-0.3383070088188323,-0.15377316196619595,-0.30591279258621634,-0.11553050263048117,0.2973221505164612,-0.32401494323528385,-0.16534466689234623,0.19355705110217275,-0.30384988786949507,-0.33290330864055184,0.29347918891767216,0.00398201579420308,-0.4303917050783102,-0.5444719666576564,1.0,0.10884109034200976,-0.026332010443839288,-0.0072247367939772345,-0.1250846607170628,0.2889572549429547,-0.0811196867137014,-0.32638523708813194
unproduktive_flaeche_pct,-0.03614756744059272,-0.12505390274601344,-0.04045346180949334,-0.3045605386598737,-0.11703657218265148,0.29736411146299724,-0.27852736404550604,-0.09450414266393256,0.20384225442007076,-0.2612279072888138,-0.31614684193261056,0.3417862049075848,-0.08564631654036256,-0.21030075775317972,-0.3043465529624113,0.10884109034200976,1.0,0.1097871698142051,-0.13693457188961025,-0.11671271963171413,0.1845912625549175,-0.13187355401848921,-0.19140143846544738
waehleranteil_svp,-0.14162569340899647,-0.305796974919171,-0.5445315067047002,-0.08176261730316654,0.023340131456736142,0.043005445293347114,-0.08402222685397047,0.08227250204008427,0.13689145529115235,-0.21237369127854838,-0.25029110439829666,0.02183748490004614,-0.1632440535419597,-0.41699738597532254,0.3564799532973884,-0.026332010443839288,0.1097871698142051,1.0,-0.517839664806547,-0.6762401202310582,-0.48328463225696533,-0.3984175544737265,0.08608674307699155
waehleranteil_sp,0.21660997248099412,0.2504655834464244,0.3801341410072008,0.07870875673275991,0.15393948366463572,-0.1600308526529077,-0.13763070260665639,0.12085777354403018,-0.08455901275942042,-0.06113958401593894,0.024336737268006708,-0.02962347044298235,0.3836490512163997,0.23456459063899135,-0.15103116130421465,-0.0072247367939772345,-0.13693457188961025,-0.517839664806547,1.0,0.21415046812195687,-0.08238224035645522,0.21559115510021418,0.09086374806581261
waehleranteil_fdp,-0.024044125961796253,0.09776494301265419,0.4886171829609124,0.28802031442243503,-0.014605882453187597,-0.19696147876771958,0.2695627355442779,0.0186875844399076,-0.20305694553856884,0.45210167368226384,0.4550882152831009,-0.15085507078332058,-0.010325012778378825,0.2509469609785983,-0.06897228985722084,-0.1250846607170628,-0.11671271963171413,-0.6762401202310582,0.21415046812195687,1.0,0.17000132845064275,0.34384205342880253,0.021384792525453368
waehleranteil_cvp,0.004370904190024907,0.13815608860098963,0.27988496886558273,-0.24404618504737563,-0.0912141151674488,0.23655270845901571,-0.09784576719173387,-0.19557065430591275,0.03294500021141864,-0.06825008159409954,-0.1179549341588202,0.1864231887390985,-0.04954656477499712,0.2184592543396237,-0.5278718278493112,0.2889572549429547,0.1845912625549175,-0.48328463225696533,-0.08238224035645522,0.17000132845064275,1.0,-0.010253440912519276,-0.4726308314912954
waehleranteil_gps,0.09608998917164878,0.19147453296114994,0.24525847052145527,0.24366946529553374,0.013948867297099082,-0.18432250555484686,0.14879003947707659,0.02345034892115671,-0.03648379992268327,-0.07413247541638188,-0.023268696392440332,0.09036626697842788,0.3629892360455118,0.11743957120858287,0.018523822566748106,-0.0811196867137014,-0.13187355401848921,-0.3984175544737265,0.21559115510021418,0.34384205342880253,-0.010253440912519276,1.0,-0.1259578399502388
waehleranteil_glp,0.11176584666162456,0.08642732593026388,0.045591094597912656,0.24149425742654337,0.1227142405165083,-0.25590392502796017,0.17084278043993195,0.14924398999364238,-0.19878782509480708,0.5755290746629385,0.6174894279085189,-0.5701684681079106,-0.13190443256293674,0.12521834881175017,0.25344064614893086,-0.32638523708813194,-0.19140143846544738,0.08608674307699155,0.09086374806581261,0.021384792525453368,-0.4726308314912954,-0.1259578399502388,1.0
