proposal_id,title_de,correlation
113,Bundesgesetz über die Raumplanung,-0.485215610932347
80,Verfassungsartikel «Für Qualität und Wirtschaftlichkeit in der Krankenversicherung»,-0.45611434906338133
132,Volksinitiative «Stopp der Überbevölkerung - zur Sicherung der natürlichen Lebensgrundlagen»,-0.43455164587355805
186,Volksinitiative «Für eine Schweiz ohne synthetische Pestizide»,-0.4090429272843612
185,Volksinitiative «Für sauberes Trinkwasser und gesunde Nahrung – Keine Subventionen für den Pestizid- und den prophylaktischen Antibiotika-Einsatz»,-0.40788616424840396
78,Volksinitiative «Für demokratische Einbürgerungen»,-0.3810733278934299
30,Volksinitiative «für eine kürzere Arbeitszeit»,-0.3781468718958932
97,Volksinitiative «Für faire Steuern. Stopp dem Missbrauch beim Steuerwettbewerb»,-0.3750506861732187
138,Volksinitiative «Millionen-Erbschaften besteuern für unsere AHV (Erbschaftssteuerreform)»,-0.36108437713179964
106,Änderung des Bundesgesetzes über die Krankenversicherung (Managed Care),-0.3499994615492438
133,Volksinitiative «Rettet unser Schweizer Gold (Gold-Initiative)»,-0.34683141455843314
187,Bundesgesetz über die gesetzlichen Grundlagen für Verordnungen des Bundesrates zur Bewältigung der Covid-19-Epidemie (Covid-19-Gesetz),-0.3211308727427314
112,Volksinitiative «gegen die Abzockerei»,-0.3202948638270425
99,Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»,-0.3195194288482495
79,Volksinitiative «Volkssouveränität statt Behördenpropaganda»,-0.3064401193984519
71,Änderung des Asylgesetzes,-0.3021652756127332
70,Bundesgesetz über die Ausländerinnen und Ausländer,-0.2993331540938287
144,Volksinitiative «Pro Service public»,-0.29887831816931365
58,Volksinitiative 'Postdienst für alle',-0.2970998571547649
123,Volksinitiative «Abtreibungsfinanzierung ist Privatsache - Entlastung der Krankenversicherung durch Streichung der Kosten des Schwangerschaftsabbruchs aus der obligatorischen Grundversicherung»,-0.28278373904086873
188,Bundesgesetz über die Verminderung von Treibhausgasemissionen (CO2-Gesetz),-0.27682734336629866
131,Volksinitiative «Schluss mit den Steuerprivilegien für Millionäre (Abschaffung der Pauschalbesteuerung)»,-0.27265534784289197
124,Volksinitiative «Gegen Masseneinwanderung»,-0.26467500092691154
146,Volksinitiative «Für eine faire Verkehrsfinanzierung»,-0.2599314893055661
192,Volksinitiative «Für eine starke Pflege» (Pflegeinitiative),-0.2596520926624771
184,Bundesbeschluss über die Genehmigung des Umfassenden Wirtschaftspartnerschaftsabkommens zwischen den EFTA-Staaten und Indonesien,-0.2466847374034711
190,"Volksinitiative «Löhne entlasten, Kapital gerecht besteuern»",-0.23912225217495636
202,Volksinitiative «Keine Massentierhaltung in der Schweiz (Massentierhaltungsinitiative)»,-0.23774177638107002
142,Volksinitiative «Keine Spekulation mit Nahrungsmitteln!»,-0.23169489641626123
32,Volksinitiative «für Mutter und Kind - für den Schutz des ungeborenen Kindes und für die Hilfe an seine Mutter in Not»,-0.2254227613500809
193,Volksinitiative «Bestimmung der Bundesrichterinnen und Bundesrichter im Losverfahren» (Justiz-Initiative),-0.2152284506060601
75,Bundesgesetz über die Invalidenversicherung,-0.2111526240301686
84,Volksinitiative «für eine vernünftige Hanf-Politik mit wirksamem Jugendschutz»,-0.20658044469900563
105,Volksinitiative «Für die Stärkung der Volksrechte in der Aussenpolitik (Staatsverträge vors Volk!)»,-0.2030735284996712
46,Volksinitiative «Gleiche Rechte für Behinderte»,-0.20156418338459667
128,Bundesgesetz über den Fonds zur Beschaffung des Kampfflugzeugs Gripen,-0.20057697264258562
120,"Volksinitiative «Familieninitiative: Steuerabzüge auch für Eltern, die ihre Kinder selber betreuen»",-0.18763437920277592
45,Volksinitiative «Gesundheit muss bezahlbar bleiben»,-0.18757552028947527
215,Volksinitiative «Für die Zukunft unserer Natur und Landschaft (Biodiversitätsinitiative)»,-0.1817583159174677
161,Volksinitiative «Ja zur Abschaffung der Radio- und Fernsehgebühren (Abschaffung der Billag-Gebühren)»,-0.17063548764176506
12,Volksinitiative «Mehr Rechte für das Volk dank dem Referendum mit Gegenvorschlag»,-0.1683612599066094
93,Volksinitiative «Gegen den Bau von Minaretten»,-0.16575971309497345
29,Volksinitiative «für den Beitritt der Schweiz zur Organisation der Vereinten Nationen (UNO)»,-0.16386503789088724
182,Volksinitiative «Ja zum Verhüllungsverbot»,-0.1620529224887774
114,Volksinitiative «Volkswahl des Bundesrates»,-0.15474156456039168
47,Volksinitiative «Strom ohne Atom - Für eine Energiewende und die schrittweise Stilllegung der Atomkraftwerke»,-0.14897920136782225
20,Volksinitiative «für mehr Verkehrssicherheit durch Tempo 30 innerorts mit Ausnahmen (Strassen für alle)»,-0.14576174898634076
213,Volksinitiative «Für Freiheit und körperliche Unversehrtheit»,-0.14227561436321456
33,Volksinitiative «Überschüssige Goldreserven in den AHV-Fonds»,-0.13844284030411352
212,Volksinitiative «Für tiefere Prämien – Kostenbremse im Gesundheitswesen (Kostenbremse-Initiative)» ,-0.13071362226772804
194,"Änderung des Bundesgesetzes über die gesetzlichen Grundlagen für Verordnungen des Bundesrates zur Bewältigung der Covid-19-Epidemie (Covid-19-Gesetz) (Härtefälle, Arbeitslosenversicherung, familienergänzende Kinderbetreuung, Kulturschaffende, Veranstaltungen)",-0.12713660775046845
85,Bundesgesetz über die Betäubungsmittel und psychotropen Stoffe,-0.12709003138928887
17,Bundespersonalgesetz,-0.1267667639533326
81,Volksinitiative «für die Unverjährbarkeit pornografischer Straftaten an Kindern»,-0.12587898624358682
51,Obligationenrecht (Miete). Änderung,-0.1229546361445643
68,Bundesbeschluss über die Neuordnung der Verfassungsbestimmungen zur Bildung,-0.12100910322244786
115,Asylgesetz (AsylG) (Dringliche Änderungen des Asylgesetzes),-0.11836661671486863
98,Volksinitiative «Für den Schutz vor Waffengewalt»,-0.11667259847578944
52,"Volksinitiative «Lebenslange Verwahrung für nicht therapierbare, extrem gefährliche Sexual- und Gewaltstraftäter»",-0.1146275731000107
43,Volksinitiative «Ja zu fairen Mieten»,-0.11311531566942232
170,Volksinitiative «Zersiedelung stoppen – für eine nachhaltige Siedlungsentwicklung (Zersiedelungsinitiative)»,-0.11143053120758507
19,Volksinitiative «für tiefere Arzneimittelpreise»,-0.10779852510978209
175,Volksinitiative «Für eine massvolle Zuwanderung (Begrenzungsinitiative)»,-0.1059657063016724
140,Volksinitiative «Für Ehe und Familie - gegen die Heiratsstrafe»,-0.10397109828844439
210,Volksinitiative «Für eine sichere und nachhaltige Altersvorsorge (Renteninitiative)»,-0.10371777161011299
107,Bundesbeschluss über die Jugendmusikförderung,-0.10164428212495466
49,Volksinitiative «für ein ausreichendes Berufsbildungsangebot»,-0.09595090181172096
3,Volksinitiative «für eine gerechte Vertretung der Frauen in den Bundesbehörden (Initiative 3. März)»,-0.09248827539389987
9,Solarinitiative und Gegenvorschlag: Stichfrage,-0.09236345882093715
7,Volksinitiative «für einen Solarrappen»,-0.09196003528599422
8,Verfassungsartikel über eine Förderabgabe für erneuerbare Energien,-0.08867968483885737
69,Volksinitiative «Nationalbankgewinne für die AHV»,-0.08595063388714427
27,Volksinitiative «Solidarität schafft Sicherheit: Für einen freiwilligen zivilen Friedensdienst (ZFD)»,-0.084396961574425
18,Volksinitiative «Ja zu Europa!»,-0.08337379060219263
94,Volksinitiative «Für die Ausschaffung krimineller Ausländer»,-0.08297146403915026
26,Volksinitiative «für eine glaubwürdige Sicherheitspolitik und eine Schweiz ohne Armee»,-0.08295660310020908
96,Ausschaffungsinitiative und Gegenvorschlag: Stichfrage,-0.0828489713799598
141,Volksinitiative «Zur Durchsetzung der Ausschaffung krimineller Ausländer (Durchsetzungsinitiative)»,-0.08160472757097538
195,Volksinitiative «Ja zum Tier- und Menschenversuchsverbot – Ja zu Forschungswegen mit Impulsen für Sicherheit und Fortschritt»,-0.0813846585073743
189,Bundesgesetz über polizeiliche Massnahmen zur Bekämpfung von Terrorismus (PMT),-0.07648937021946906
28,Volksinitiative «für eine Kapitalgewinnsteuer»,-0.06960280951403623
35,Goldinitiative und Gegenvorschlag: Stichfrage,-0.0657491629203072
23,Bundesbeschluss über die Aufhebung der Genehmigungspflicht für die Errichtung von Bistümern,-0.06303770642414463
162,Volksinitiative «Für krisensicheres Geld: Geldschöpfung allein durch die Nationalbank! (Vollgeld-Initiative),-0.05672978850082683
135,Volksinitiative «Energie- statt Mehrwertsteuer»,-0.05253917690433647
39,Bundesbeschluss über die Änderung der Volksrechte,-0.04393357244767106
11,Volksinitiative «für eine Regelung der Zuwanderung»,-0.043899995363128545
10,Verfassungsartikel über eine Energielenkungsabgabe für die Umwelt,-0.04239361207042213
48,Volksinitiative «MoratoriumPlus - Für die Verlängerung des Atomkraftwerk-Baustopps und die Begrenzung des Atomrisikos»,-0.04024073567639923
2,Volksinitiative «für Beschleunigung der direkten Demokratie (Behandlungsfristen für Volksinitiativen in Form eines ausgearbeiteten Entwurfs)»,-0.036936251884852465
198,Bundesgesetz über ein Massnahmenpaket zugunsten der Medien,-0.03605446359653976
