proposal_id,title,voting_date,f_statistic,p_value,eta_squared,mean_range,n_municipalities,n_groups,category,significant,highly_significant
1,Bundesbeschluss über die Justizreform,20000312,32.367726409090935,1.9167156840921433e-20,0.044663556060750405,14.858564814814812,2081,4,Röstigraben (Sprachgebiete),True,True
2,Volksinitiative «für Beschleunigung der direkten Demokratie (Behandlungsfristen für Volksinitiativen in Form eines ausgearbeiteten Entwurfs)»,20000312,97.5561000452062,4.496823850040867e-59,0.1235060198589266,14.12002314814815,2081,4,Röstigraben (Sprachgebiete),True,True
3,Volksinitiative «für eine gerechte Vertretung der Frauen in den Bundesbehörden (Initiative 3. März)»,20000312,238.17535940564346,8.254988952129064e-133,0.25596253024199933,6.4506719176089415,2081,4,Röstigraben (Sprachgebiete),True,True
4,Volksinitiative «zum Schutze des Menschen vor Manipulationen in der Fortpflanzungstechnologie (Initiative für menschenwürdige Fortpflanzung [FMF])»,20000312,824.7427010356485,0.0,0.5436396610000471,21.869834700472282,2081,4,Röstigraben (Sprachgebiete),True,True
5,Volksinitiative «für die Halbierung des motorisierten Strassenverkehrs zur Erhaltung und Verbesserung von Lebensräumen (Verkehrshalbierungs-Initiative)»,20000312,176.17152629728747,9.281314458068869e-102,0.2028446062722253,11.006495152870992,2081,4,Röstigraben (Sprachgebiete),True,True
6,Bundesbeschluss über die Genehmigung der sektoriellen Abkommen zwischen der Schweizerischen Eidgenossenschaft einerseits und der Europäischen Gemeinschaft andererseits,20000521,483.2390399263842,3.8148450227606925e-238,0.41106702651272914,34.08601851851852,2081,4,Röstigraben (Sprachgebiete),True,True
7,Volksinitiative «für einen Solarrappen»,20000924,49.02924475259307,1.3016241690571417e-30,0.06613396224985929,10.64410234899329,2081,4,Röstigraben (Sprachgebiete),True,True
8,Verfassungsartikel über eine Förderabgabe für erneuerbare Energien,20000924,17.42338241607809,3.58140495497682e-11,0.024548386833763564,11.448871644295295,2081,4,Röstigraben (Sprachgebiete),True,True
9,Solarinitiative und Gegenvorschlag: Stichfrage,20000924,131.85616352585367,3.4451246726110813e-78,0.15998282437270778,9.334382301764851,2081,4,Röstigraben (Sprachgebiete),True,True
10,Verfassungsartikel über eine Energielenkungsabgabe für die Umwelt,20000924,205.59453926194988,9.2796560150618e-117,0.2289655389220954,19.45148489932886,2081,4,Röstigraben (Sprachgebiete),True,True
11,Volksinitiative «für eine Regelung der Zuwanderung»,20000924,487.22641858890955,1.1358796714959143e-239,0.41305785297854697,16.377170100449234,2081,4,Röstigraben (Sprachgebiete),True,True
12,Volksinitiative «Mehr Rechte für das Volk dank dem Referendum mit Gegenvorschlag»,20000924,72.1944094437982,2.0599130435912225e-44,0.09443007153874301,9.705486111111107,2081,4,Röstigraben (Sprachgebiete),True,True
13,Volksinitiative «für eine Flexibilisierung der AHV - gegen die Erhöhung des Rentenalters für Frauen»,20001126,1419.8471550238498,0.0,0.6722186682673986,32.03087962962963,2081,4,Röstigraben (Sprachgebiete),True,True
14,Volksinitiative «für ein flexibles Rentenalter ab 62 für Frau und Mann»,20001126,1242.5743493282175,0.0,0.6421879247587673,29.340856481481488,2081,4,Röstigraben (Sprachgebiete),True,True
15,Volksinitiative «Sparen beim Militär und der Gesamtverteidigung - für mehr Frieden und zukunftsgerichtete Arbeitsplätze»,20001126,978.6365948956566,0.0,0.5856697827787261,20.64303940302482,2081,4,Röstigraben (Sprachgebiete),True,True
16,Volksinitiative «für tiefere Spitalkosten»,20001126,258.6058725441998,1.3625755402121611e-142,0.271947850026392,14.36132398563148,2081,4,Röstigraben (Sprachgebiete),True,True
17,Bundespersonalgesetz,20001126,576.1783846103491,1.9308775485470513e-272,0.45421605213419897,24.473204071080637,2081,4,Röstigraben (Sprachgebiete),True,True
18,Volksinitiative «Ja zu Europa!»,20010304,908.8326194036345,0.0,0.5676067604673409,19.709882550335564,2081,4,Röstigraben (Sprachgebiete),True,True
19,Volksinitiative «für tiefere Arzneimittelpreise»,20010304,596.609973184684,1.2115652314513108e-279,0.4628675056286074,13.363278647775289,2081,4,Röstigraben (Sprachgebiete),True,True
20,Volksinitiative «für mehr Verkehrssicherheit durch Tempo 30 innerorts mit Ausnahmen (Strassen für alle)»,20010304,51.11624416178195,7.160563077542262e-32,0.06875549561008093,11.393091442953018,2081,4,Röstigraben (Sprachgebiete),True,True
21,Bundesgesetz über die Armee und die Militärverwaltung (Bewaffnung),20010610,55.9660235226519,8.717781319066446e-35,0.07479095499666832,12.372224671401746,2081,4,Röstigraben (Sprachgebiete),True,True
22,Bundesgesetz über die Armee und die Militärverwaltung (Ausbildungszusammenarbeit),20010610,58.62852391806408,2.226989208046322e-36,0.0780712407054214,13.281580288342035,2081,4,Röstigraben (Sprachgebiete),True,True
