ID,Datum,Titel,F-Statistik,p-Wert,Effektstärke (eta²),Max Differenz (PP)
222,20250928,Bundesbeschluss über die kantonalen Liegenschaftssteuern auf Zweitliegenschaften,746.4755940480858,0.0,0.6832881193089883,31.16474879656686
80,20080601,Verfassungsartikel «Für Qualität und Wirtschaftlichkeit in der Krankenversicheru,518.1740686016641,0.0,0.5998490780140234,30.51663066954644
106,20120617,Änderung des Bundesgesetzes über die Krankenversicherung (Managed Care),414.201067573745,0.0,0.5450962699288633,19.654357063199647
4,20000312,Volksinitiative «zum Schutze des Menschen vor Manipulationen in der Fortpflanzun,401.0565633968081,0.0,0.5370886390700829,22.612730439629345
200,20220515,"Änderung des Bundesgesetzes über die Transplantation von Organen, Geweben und Ze",399.3205835279469,0.0,0.5357702341156044,27.57212220003532
157,20170924,Bundesbeschluss über die Ernährungssicherheit,374.5711388273858,0.0,0.5200659226301602,17.144482770790106
177,20200927,Bundesgesetz über die direkte Bundessteuer (DBG) (Steuerliche Berücksichtigung d,371.9558772448839,0.0,0.5181965286790169,22.28401535012728
211,20240609,Volksinitiative «Maximal 10% des Einkommens für die Krankenkassenprämien (Prämie,345.473229776762,1.0113220786906631e-307,0.4996190957216029,29.01170947195398
68,20060521,Bundesbeschluss über die Neuordnung der Verfassungsbestimmungen zur Bildung,341.4827075726595,4.909601201326649e-305,0.4969555679952124,31.271741935483867
163,20180610,Bundesgesetz über Geldspiele (Geldspielgesetz),339.71887492787613,6.390195704701048e-304,0.495540486682286,18.532666639499027
59,20040926,"Bundesgesetz über die Erwerbsersatzordnung für Dienstleistende in Armee, Zivildi",335.602343558272,3.581485476934821e-301,0.4926135469562374,36.86637547977053
166,20180923,Volksinitiative «Für Ernährungssouveränität. Die Landwirtschaft betrifft uns all,331.30619372941715,2.280012974838357e-298,0.4892731564003276,30.81896245752569
51,20040208,Obligationenrecht (Miete). Änderung,323.16056355883035,6.888959236241182e-293,0.4831749500538066,21.254750419966403
78,20080601,Volksinitiative «Für demokratische Einbürgerungen»,320.77424580694657,2.7832879925169827e-291,0.4813243601992204,30.29283074933623
165,20180923,Volksinitiative «Für gesunde sowie umweltfreundlich und fair hergestellte Lebens,305.66908576872123,5.155751300197009e-281,0.4691756727319839,31.46127237209559
