ID,Datum,Titel,F-Statistik,p-Wert,Effektstärke (eta²),Max Differenz (PP)
202,20220925,Volksinitiative «Keine Massentierhaltung in der Schweiz (Massentierhaltungsiniti,326.68923623251374,4.150571433229925e-124,0.2390369570284186,10.656976601638943
185,20210613,Volksinitiative «Für sauberes Trinkwasser und gesunde Nahrung – Keine Subvention,323.857438188672,3.5887004870550414e-123,0.2374569578318863,11.517545265342342
188,20210613,Bundesgesetz über die Verminderung von Treibhausgasemissionen (CO2-Gesetz),317.6254718247075,4.2023878130344896e-121,0.2339566238380933,11.860424419547977
172,20190519,Bundesbeschluss über die Genehmigung und die Umsetzung des Notenaustauschs zwisc,309.3863467095736,2.397042239834656e-118,0.2293642807374246,14.64974821355532
186,20210613,Volksinitiative «Für eine Schweiz ohne synthetische Pestizide»,283.0943719182622,1.8206141571557446e-109,0.2139638546778967,10.48050416347003
215,20240922,Volksinitiative «Für die Zukunft unserer Natur und Landschaft (Biodiversitätsini,280.73440236190226,1.165635603055651e-108,0.2125593168920698,10.51244101333473
208,20230618,Änderung des Bundesgesetzes über die gesetzlichen Grundlagen für Verordnungen de,267.18114169544475,5.314569851896973e-104,0.2043948869618055,11.218617030865964
98,20110213,Volksinitiative «Für den Schutz vor Waffengewalt»,259.6994051030297,2.1285080386108583e-101,0.1999688334980231,12.439285843177824
194,20211128,Änderung des Bundesgesetzes über die gesetzlichen Grundlagen für Verordnungen de,232.49489299571425,7.453889080487354e-92,0.1827079183385747,9.67732049605086
223,20250928,Bundesgesetz über den elektronischen Identitätsnachweis und andere elektronische,231.04362591158184,2.4422916780883658e-91,0.1817747410092864,9.6996998135102
187,20210613,Bundesgesetz über die gesetzlichen Grundlagen für Verordnungen des Bundesrates z,188.3722942429626,6.478283362479151e-76,0.1533511420974003,10.420490522271606
67,20051127,Arbeitsgesetz (Ladenöffnungszeiten in Zentren des öffentlichen Verkehrs),181.13362646793365,3.063861707862188e-73,0.1484539254870656,10.73132483619245
64,20050605,Bundesgesetz über die eingetragene Partnerschaft gleichgeschlechtlicher Paare (P,171.5571746194582,1.1010853546954708e-69,0.1417175315766376,8.759144331095762
120,20131124,"Volksinitiative «Familieninitiative: Steuerabzüge auch für Eltern, die ihre Kind",171.13605568997417,1.5805900956424196e-69,0.1414188552479734,8.149547514215364
207,20230618,"Bundesgesetz über die Ziele im Klimaschutz, die Innovation und die Stärkung der ",166.0221119270511,1.274064927252593e-67,0.137660918722105,10.452658250921928
